kind,algorithm,n,range,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
nearly,merge_sort,10000,1999894,0.032235899998340756,0.031560999996145256,0.032235899998340756,0.033584199991310015,0.032601300001260825,0.03078980000282172
nearly,counting_sort,10000,1999894,0.2142403000034392,0.2142403000034392,0.21232679999957327,0.21775590001197997,0.21156039999914356,0.2184832000057213
nearly,radix_sort,10000,1999894,0.020184699998935685,0.02142710000043735,0.020184699998935685,0.02060080000956077,0.019800299996859394,0.01972560001013335
nearly,heap_sort,10000,1999894,0.04668569999921601,0.0465773000032641,0.04668569999921601,0.050053699989803135,0.047812799995881505,0.0465805999992881
nearly,quick_sort,10000,1999894,0.07538100000238046,0.07930330000817776,0.07780910001019947,0.07260799998766743,0.07538100000238046,0.07482889998937026
nearly,sorted,10000,1999894,0.0001875000016298145,0.0001875000016298145,0.0002476999943610281,0.00019669999892357737,0.0001816000003600493,0.00017689999367576092
nearly,merge_sort,30000,1999880,0.10992909999913536,0.10876830000779592,0.1093035000085365,0.11431630000879522,0.10992909999913536,0.11527779999596532
nearly,counting_sort,30000,1999880,0.22915240000293124,0.22915240000293124,0.22829140000976622,0.2321726999944076,0.23437710000143852,0.22388209999189712
nearly,radix_sort,30000,1999880,0.06483599999046419,0.06620190000103321,0.06507439998677,0.06329470001219306,0.06403160000627395,0.06483599999046419
nearly,heap_sort,30000,1999880,0.1602615000010701,0.16038429999025539,0.17355799999495503,0.1561063999979524,0.15455829999700654,0.1602615000010701
nearly,quick_sort,30000,1999880,0.26563680000253953,0.25951060000807047,0.2750479000096675,0.26563680000253953,0.2595774999936111,0.2768857999908505
nearly,sorted,30000,1999880,0.0007603999983984977,0.0007622999983141199,0.0007670000049984083,0.0007603999983984977,0.0007549000001745299,0.0007405999931506813
nearly,merge_sort,100000,1999940,0.4341066999913892,0.4341066999913892,0.43276609999884386,0.42906609999772627,0.44291769999836106,0.44148320000385866
nearly,counting_sort,100000,1999940,0.25862200000847224,0.25656540000636596,0.25862200000847224,0.2625502000009874,0.2583073999994667,0.26178519999666605
nearly,radix_sort,100000,1999940,0.2736804000014672,0.2684175000031246,0.2670384999946691,0.2838140999956522,0.2736804000014672,0.28305030000046827
nearly,heap_sort,100000,1999940,0.6393257999880007,0.6149715000065044,0.6169673999975203,0.6455897999985609,0.6424604000058025,0.6393257999880007
nearly,quick_sort,100000,1999940,0.9933627999998862,1.0121665000042412,1.1339948999957414,0.9933627999998862,0.9812657000002218,0.9553285000001779
nearly,sorted,100000,1999940,0.0035860999923897907,0.0035860999923897907,0.0035396000021137297,0.003728600000613369,0.0039702000067336485,0.0031297000095946714
